,Country Code,Country Name,people-online
56,DNK,Denmark,5597758.808651568
57,DOM,Dominican Republic,6997817.133090791
58,DZA,Algeria,19705057.888175312
59,EAP,East Asia & Pacific (excluding high income),1050444225.7076876
60,EAR,Early-demographic dividend,1216557783.8098047
61,EAS,East Asia & Pacific,1275110088.420028
62,ECA,Europe & Central Asia (excluding high income),275849785.8070353
63,ECS,Europe & Central Asia,685805958.6084108
64,ECU,Ecuador,9521429.185213974
65,EGY,"Egypt, Arab Rep.",43850340.626810916
66,EMU,Euro area,271012840.28667074
67,ERI,Eritrea,58569.52974336199
68,ESP,Spain,39418869.00884115
69,EST,Estonia,1160647.6704122808
70,ETH,Ethiopia,19541029.807441853
71,EUU,European Union,413237148.3210956
72,FCS,Fragile and conflict affected situations,114836937.52881534
73,FIN,Finland,4817975.79668381
74,FJI,Fiji,452446.5069330102
75,FRA,France,54019937.965
76,FRO,Faroe Islands,48098.147561526
77,FSM,"Micronesia, Fed. Sts.",37261.3095611128
78,GAB,Gabon,1019051.3716021056
79,GBR,United Kingdom,62471236.998
80,GEO,Georgia,2255116.501114302
81,GHA,Ghana,10923376.01624458
82,GIB,Gibraltar,32650.3982699218
83,GIN,Guinea,1449760.7053574552
84,GMB,"Gambia, The",416678.2143012192
85,GNB,Guinea-Bissau,73157.89865962016
86,GNQ,Equatorial Guinea,332641.5930929244
87,GRC,Greece,7515642.8159
88,GRD,Grenada,63694.09865192
89,GRL,Greenland,39028.99360644379
90,GTM,Guatemala,6884311.427237272
91,GUM,Guam,132213.3210345324
92,GUY,Guyana,290342.38079632603
93,HIC,High income,1026118494.8880826
94,HKG,"Hong Kong SAR, China",6609358.38069405
95,HND,Honduras,2977455.6226096386
96,HPC,Heavily indebted poor countries (HIPC),141276077.89379632
97,HRV,Croatia,2767403.2405093326
98,HTI,Haiti,1353557.6608969981
99,HUN,Hungary,7512317.456919578
100,IBD,IBRD only,2359915001.5349364
101,IBT,IDA & IBRD total,2698493902.023203
102,IDA,IDA total,336731203.79627323
103,IDB,IDA blend,125134857.71185736
104,IDN,Indonesia,85249262.68458381
105,IDX,IDA only,211570504.08984977
106,IMN,Isle of Man,
107,IND,India,461347553.7515
108,INX,Not classified,
109,IRL,Ireland,4066306.6413868023
110,IRN,"Iran, Islamic Rep.",49035599.059349455
111,IRQ,Iraq,18892351.019951742
112,ISL,Iceland,337424.84
113,ISR,Israel,7108413.26974747
114,ITA,Italy,37109694.40629576
115,JAM,Jamaica,1409915.8745158948
116,JOR,Jordan,6480232.075808537
117,JPN,Japan,115214110.74802344
118,KAZ,Kazakhstan,13785685.649811365
119,KEN,Kenya,8860044.202971712
120,KGZ,Kyrgyz Republic,2367652.7584403204
121,KHM,Cambodia,5441826.680753254
122,KIR,Kiribati,16972.9447251564
123,KNA,St. Kitts and Nevis,44669.055103794504
124,KOR,"Korea, Rep.",48942889.93710203
125,KWT,Kuwait,4053796.9986324627
126,LAC,Latin America & Caribbean (excluding high income),342513659.2470413
127,LAO,Lao PDR,1749546.454482528
128,LBN,Lebanon,4755233.834176157
129,LBR,Liberia,377818.0750341013
130,LBY,Libya,1387047.6352698193
131,LCA,St. Lucia,90880.0163743432
132,LCN,Latin America & Caribbean,400284440.92487127
133,LDC,Least developed countries: UN classification,178263103.12818593
134,LIC,Low income,117157119.28790307
135,LIE,Liechtenstein,37201.481999999996
136,LKA,Sri Lanka,7315266.323676
137,LMC,Lower middle income,1001357663.3359318
138,LMY,Low & middle income,2631938648.504851
139,LSO,Lesotho,665262.6290121888
140,LTE,Late-demographic dividend,1340870156.7080638
141,LTU,Lithuania,2195272.243586535
142,LUX,Luxembourg,583381.3525585968
143,LVA,Latvia,1579355.6975510162
144,MAC,"Macao SAR, China",517814.4311004268
145,MAF,St. Martin (French part),
146,MAR,Morocco,22073555.171083555
147,MCO,Monaco,37554.649388238
148,MDA,Moldova,2701808.414955084
149,MDG,Madagascar,2505947.71
150,MDV,Maldives,275698.015934204
151,MEA,Middle East & North Africa,245063854.89325306
152,MEX,Mexico,82473656.7243242
153,MHL,Marshall Islands,20560.766665127398
154,MIC,Middle income,2507599765.855407
155,MKD,North Macedonia,1589700.630485672
156,MLI,Mali,2358658.702675008
157,MLT,Malta,374733.2475774216
158,MMR,Myanmar,16373133.15594214
159,MNA,Middle East & North Africa (excluding high income),190009011.73841077
160,MNE,Montenegro,443579.7541991742
161,MNG,Mongolia,729367.0852731499
162,MNP,Northern Mariana Islands,0.0
163,MOZ,Mozambique,6163403.664166503
164,MRT,Mauritania,919440.8675451345
165,MUS,Mauritius,702577.2304636533
166,MWI,Malawi,2566528.986156766
167,MYS,Malaysia,25343836.65298699
168,NAC,North America,278708213.51449245
169,NAM,Namibia,933383.9948924718
170,NCL,New Caledonia,229993.58110767996
171,NER,Niger,2195910.974345429
172,NGA,Nigeria,52839212.71840836
173,NIC,Nicaragua,1732407.0816841582
174,NLD,Netherlands,15965901.714017672
175,NOR,Norway,5092723.640629867
176,NPL,Nepal,6272298.303441292
177,NRU,Nauru,7339.32
178,NZL,New Zealand,4353392.9906827295
179,OED,OECD members,1030618770.666081
180,OMN,Oman,3717616.158808413
181,OSS,Other small states,15096187.206481304
182,PAK,Pakistan,30557174.6205
183,PAN,Panama,2371651.059147311
184,PER,Peru,15673478.98812158
185,PHL,Philippines,63008307.4923137
186,PLW,Palau,5860.3835771727
187,PNG,Papua New Guinea,924888.9695393757
188,POL,Poland,28855310.504975747
189,PRE,Pre-demographic dividend,183449741.28971317
190,PRI,Puerto Rico,2419028.7569697266
191,PRK,"Korea, Dem. People’s Rep.",0.0
192,PRT,Portugal,7600716.41049185
193,PRY,Paraguay,4160051.1511401734
194,PSE,West Bank and Gaza,3054474.6040000003
195,PSS,Pacific island small states,801469.1677936777
196,PST,Post-demographic dividend,894882799.7847909
197,PYF,French Polynesia,205757.11299997166
198,QAT,Qatar,2532059.0334
199,ROU,Romania,12484258.817511695
200,RUS,Russian Federation,109829282.31053391
201,RWA,Rwanda,2657481.1845143633
202,SAS,South Asia,539875104.0605133
203,SAU,Saudi Arabia,27048860.5156
204,SDN,Sudan,12512758.840216808
205,SEN,Senegal,4698603.178206209
206,SGP,Singapore,4739521.773666713
207,SLB,Solomon Islands,72897.93966227579
208,SLE,Sierra Leone,1000342.8948876115
209,SLV,El Salvador,1993165.3172217573
210,SMR,San Marino,20100.88862084
211,SOM,Somalia,295447.3402338506
212,SRB,Serbia,4937828.0927748475
213,SSA,Sub-Saharan Africa (excluding high income),234641585.23466367
214,SSD,South Sudan,1003218.643897646
215,SSF,Sub-Saharan Africa,234697506.60040945
216,SST,Small states,20084520.575189684
217,STP,Sao Tome and Principe,61157.582687484
218,SUR,Suriname,275758.0890504594
219,SVK,Slovak Republic,4439809.427961445
220,SVN,Slovenia,1630078.9840518767
221,SWE,Sweden,9696590.965133656
222,SWZ,Eswatini,414277.962
223,SXM,Sint Maarten (Dutch part),
224,SYC,Seychelles,56326.750186753205
225,SYR,Syrian Arab Republic,6258051.3181204535
226,TCA,Turks and Caicos Islands,0.0
227,TCD,Chad,968499.3298801128
228,TEA,East Asia & Pacific (IDA & IBRD countries),1037480747.907505
229,TEC,Europe & Central Asia (IDA & IBRD countries),307531791.4628018
230,TGO,Togo,963812.5208721919
231,THA,Thailand,36515272.59405331
232,TJK,Tajikistan,1959126.9228
233,TKM,Turkmenistan,1223648.3691158574
234,TLA,Latin America & the Caribbean (IDA & IBRD countries),391212726.58162564
235,TLS,Timor-Leste,356391.30561648024
236,TMN,Middle East & North Africa (IDA & IBRD countries),186918709.2876722
237,TON,Tonga,44556.875596728
238,TSA,South Asia (IDA & IBRD),539875104.0605133
239,TSS,Sub-Saharan Africa (IDA & IBRD countries),234697506.60040945
240,TTO,Trinidad and Tobago,1058690.3221778625
241,TUN,Tunisia,6400330.485
242,TUR,Turkey,52229607.482639536
243,TUV,Tuvalu,5519.708458350399
244,TZA,Tanzania,9169602.713332891
245,UGA,Uganda,10161320.387210319
246,UKR,Ukraine,25605364.873270657
247,UMC,Upper middle income,1502652602.1557672
248,URY,Uruguay,2360257.2355428003
249,USA,United States,244616771.8562961
250,UZB,Uzbekistan,16940157.60305888
251,VCT,St. Vincent and the Grenadines,72048.47320000001
252,VEN,"Venezuela, RB",20565526.15560559
253,VGB,British Virgin Islands,11729.696
254,VIR,Virgin Islands (U.S.),69056.45058572399
255,VNM,Vietnam,47358712.15141472
256,VUT,Vanuatu,71049.3707207296
257,WLD,World,3656818065.9419694
258,WSM,Samoa,66025.329200208
259,XKX,Kosovo,
260,YEM,"Yemen, Rep.",7548047.4396150345
261,ZAF,South Africa,31856548.742685273
262,ZMB,Zambia,4761156.07970683
263,ZWE,Zimbabwe,4472246.141888818
